Size,Sparsity,ActualSparsity,NonZeroElements,Algorithm,AvgTimeSeconds,AvgMemoryMB
64,0.5,0.5046,2029,Dense-Python,0.026303,47.9
64,0.5,0.5046,2029,Sparse-CSR,0.03054,48.15
64,0.5,0.5046,2029,Dense-NumPy,0.007732,48.71
64,0.5,0.5046,2029,Sparse-SciPy,0.000428,48.72
128,0.5,0.504,8127,Dense-Python,0.209137,51.83
128,0.5,0.504,8127,Sparse-CSR,0.19827,52.75
128,0.5,0.504,8127,Dense-NumPy,0.000392,52.67
128,0.5,0.504,8127,Sparse-SciPy,0.001072,52.69
256,0.5,0.5019,32644,Dense-Python,1.483413,60.74
256,0.5,0.5019,32644,Sparse-CSR,1.529089,65.22
256,0.5,0.5019,32644,Dense-NumPy,0.00068,63.81
256,0.5,0.5019,32644,Sparse-SciPy,0.006719,63.89
512,0.5,0.5009,130846,Dense-Python,12.751967,92.48
512,0.5,0.5009,130846,Sparse-CSR,15.701251,109.54
512,0.5,0.5009,130846,Dense-NumPy,0.003146,95.87
512,0.5,0.5009,130846,Sparse-SciPy,0.052846,96.87
1024,0.5,0.5002,524089,Dense-Python,106.030913,219.59
1024,0.5,0.5002,524089,Sparse-CSR,148.193501,268.91
1024,0.5,0.5002,524089,Dense-NumPy,0.020362,213.19
1024,0.5,0.5002,524089,Sparse-SciPy,0.44382,217.21
2048,0.5,0.5001,2096722,Dense-Python,852.837093,718.04
2048,0.5,0.5001,2096722,Sparse-CSR,1207.117655,897.89
2048,0.5,0.5001,2096722,Dense-NumPy,0.127349,671.45
2048,0.5,0.5001,2096722,Sparse-SciPy,3.140547,687.45
64,0.7,0.6995,1231,Dense-Python,0.032233,99.99
64,0.7,0.6995,1231,Sparse-CSR,0.022588,100.15
64,0.7,0.6995,1231,Dense-NumPy,0.000138,100.15
64,0.7,0.6995,1231,Sparse-SciPy,0.000239,100.15
128,0.7,0.6987,4936,Dense-Python,0.241445,100.01
128,0.7,0.6987,4936,Sparse-CSR,0.129432,100.56
128,0.7,0.6987,4936,Dense-NumPy,0.000539,100.56
128,0.7,0.6987,4936,Sparse-SciPy,0.000755,100.56
256,0.7,0.7006,19621,Dense-Python,1.538902,98.93
256,0.7,0.7006,19621,Sparse-CSR,0.981358,102.51
256,0.7,0.7006,19621,Dense-NumPy,0.0013,102.51
256,0.7,0.7006,19621,Sparse-SciPy,0.003968,102.51
512,0.7,0.7009,78406,Dense-Python,12.717132,112.43
512,0.7,0.7009,78406,Sparse-CSR,10.681826,136.18
512,0.7,0.7009,78406,Dense-NumPy,0.004183,120.48
512,0.7,0.7009,78406,Sparse-SciPy,0.023515,121.48
1024,0.7,0.7,314563,Dense-Python,108.883639,205.67
1024,0.7,0.7,314563,Sparse-CSR,94.078772,271.75
1024,0.7,0.7,314563,Dense-NumPy,0.019713,195.38
1024,0.7,0.7,314563,Sparse-SciPy,0.200565,199.38
2048,0.7,0.6999,1258752,Dense-Python,855.414286,582.43
2048,0.7,0.6999,1258752,Sparse-CSR,790.252057,825.51
2048,0.7,0.6999,1258752,Dense-NumPy,0.122924,520.78
2048,0.7,0.6999,1258752,Sparse-SciPy,1.161313,536.79
64,0.9,0.9001,409,Dense-Python,0.030639,106.9
64,0.9,0.9001,409,Sparse-CSR,0.008437,106.96
64,0.9,0.9001,409,Dense-NumPy,0.000137,106.96
64,0.9,0.9001,409,Sparse-SciPy,0.000173,106.97
128,0.9,0.8976,1678,Dense-Python,0.242888,105.93
128,0.9,0.8976,1678,Sparse-CSR,0.070527,106.46
128,0.9,0.8976,1678,Dense-NumPy,0.000451,106.46
128,0.9,0.8976,1678,Sparse-SciPy,0.000361,106.46
256,0.9,0.8994,6594,Dense-Python,1.507964,106.55
256,0.9,0.8994,6594,Sparse-CSR,0.65041,109.89
256,0.9,0.8994,6594,Dense-NumPy,0.001549,109.9
256,0.9,0.8994,6594,Sparse-SciPy,0.001313,109.9
512,0.9,0.9003,26135,Dense-Python,12.266096,115.86
512,0.9,0.9003,26135,Sparse-CSR,8.687733,123.88
512,0.9,0.9003,26135,Dense-NumPy,0.003923,118.84
512,0.9,0.9003,26135,Sparse-SciPy,0.006721,119.82
1024,0.9,0.8998,105118,Dense-Python,101.906544,174.65
1024,0.9,0.8998,105118,Sparse-CSR,80.189014,255.12
1024,0.9,0.8998,105118,Dense-NumPy,0.018927,167.74
1024,0.9,0.8998,105118,Sparse-SciPy,0.037298,171.74
2048,0.9,0.9001,419049,Dense-Python,825.02019,441.62
2048,0.9,0.9001,419049,Sparse-CSR,666.216762,733.83
2048,0.9,0.9001,419049,Dense-NumPy,0.117623,355.77
2048,0.9,0.9001,419049,Sparse-SciPy,0.232127,371.78
64,0.95,0.9518,197,Dense-Python,0.026088,115.75
64,0.95,0.9518,197,Sparse-CSR,0.00235,115.76
64,0.95,0.9518,197,Dense-NumPy,0.000152,115.77
64,0.95,0.9518,197,Sparse-SciPy,0.000168,115.77
128,0.95,0.9504,812,Dense-Python,0.247929,115.08
128,0.95,0.9504,812,Sparse-CSR,0.036181,115.21
128,0.95,0.9504,812,Dense-NumPy,0.00041,115.21
128,0.95,0.9504,812,Sparse-SciPy,0.000222,115.21
256,0.95,0.9497,3297,Dense-Python,1.814578,116.86
256,0.95,0.9497,3297,Sparse-CSR,0.420643,118.41
256,0.95,0.9497,3297,Dense-NumPy,0.001394,118.74
256,0.95,0.9497,3297,Sparse-SciPy,0.000596,118.82
512,0.95,0.9504,13012,Dense-Python,14.419966,123.44
512,0.95,0.9504,13012,Sparse-CSR,7.937196,123.9
512,0.95,0.9504,13012,Dense-NumPy,0.004141,122.92
512,0.95,0.9504,13012,Sparse-SciPy,0.003563,123.09
1024,0.95,0.95,52412,Dense-Python,102.515003,166.74
1024,0.95,0.95,52412,Sparse-CSR,70.699145,239.23
1024,0.95,0.95,52412,Dense-NumPy,0.018904,172.08
1024,0.95,0.95,52412,Sparse-SciPy,0.019358,175.15
2048,0.95,0.95,209904,Dense-Python,813.649988,405.98
2048,0.95,0.95,209904,Sparse-CSR,684.439428,712.82
2048,0.95,0.95,209904,Dense-NumPy,0.119886,322.79
2048,0.95,0.95,209904,Sparse-SciPy,0.106215,338.5
64,0.99,0.9904,39,Dense-Python,0.029173,120.64
64,0.99,0.9904,39,Sparse-CSR,0.00019,119.64
64,0.99,0.9904,39,Dense-NumPy,0.000185,119.65
64,0.99,0.9904,39,Sparse-SciPy,0.000163,119.65
128,0.99,0.9899,166,Dense-Python,0.231492,118.11
128,0.99,0.9899,166,Sparse-CSR,0.001341,118.12
128,0.99,0.9899,166,Dense-NumPy,0.000371,118.16
128,0.99,0.9899,166,Sparse-SciPy,0.00018,118.16
256,0.99,0.9897,672,Dense-Python,1.422072,119.34
256,0.99,0.9897,672,Sparse-CSR,0.01671,119.36
256,0.99,0.9897,672,Dense-NumPy,0.00135,119.69
256,0.99,0.9897,672,Sparse-SciPy,0.000195,119.69
512,0.99,0.9898,2665,Dense-Python,11.802898,127.98
512,0.99,0.9898,2665,Sparse-CSR,0.307972,128.58
512,0.99,0.9898,2665,Dense-NumPy,0.004602,130.58
512,0.99,0.9898,2665,Sparse-SciPy,0.000298,128.58
1024,0.99,0.99,10467,Dense-Python,98.044384,159.7
1024,0.99,0.99,10467,Sparse-CSR,4.523393,162.6
1024,0.99,0.99,10467,Dense-NumPy,0.020438,170.61
1024,0.99,0.99,10467,Sparse-SciPy,0.000994,162.61
2048,0.99,0.99,41850,Dense-Python,800.633583,379.23
2048,0.99,0.99,41850,Sparse-CSR,90.79399,327.05
2048,0.99,0.99,41850,Dense-NumPy,0.120126,310.6
2048,0.99,0.99,41850,Sparse-SciPy,0.007072,287.41
