Algorithm,Size,Sparsity,Run,TimeSeconds,MemoryMB,NonZeroElements,ActualSparsity
CSR-Pure,64,0.5,1,0.026235,45.72,2071,0.494384765625
CSR-Pure,64,0.5,2,0.02486,46.14,2026,0.50537109375
CSR-Pure,64,0.5,3,0.025082,46.19,2080,0.4921875
CSR-Pure,128,0.5,1,0.196085,48.69,8237,0.49725341796875
CSR-Pure,128,0.5,2,0.196152,48.7,8139,0.50323486328125
CSR-Pure,128,0.5,3,0.20135,49.43,8265,0.49554443359375
CSR-Pure,256,0.5,1,1.588735,58.11,32845,0.4988250732421875
CSR-Pure,256,0.5,2,1.578946,58.34,32800,0.49951171875
CSR-Pure,256,0.5,3,1.562269,57.29,32705,0.5009613037109375
CSR-Pure,512,0.5,1,14.425665,91.64,130904,0.500640869140625
CSR-Pure,512,0.5,2,14.649127,97.77,130724,0.5013275146484375
CSR-Pure,512,0.5,3,15.039529,97.82,131352,0.498931884765625
CSR-Pure,1024,0.5,1,124.224576,238.4,524031,0.5002450942993164
CSR-Pure,1024,0.5,2,127.406754,263.25,524339,0.4999513626098633
CSR-Pure,1024,0.5,3,132.544677,263.53,524335,0.4999551773071289
CSR-Pure,2048,0.5,1,1019.182065,832.76,2097893,0.49982333183288574
CSR-Pure,2048,0.5,2,1045.156678,929.54,2096157,0.500237226486206
CSR-Pure,2048,0.5,3,1084.475277,929.81,2095364,0.5004262924194336
CSR-Pure,64,0.7,1,0.137729,768.83,1233,0.698974609375
CSR-Pure,64,0.7,2,0.016669,59.03,1230,0.69970703125
CSR-Pure,64,0.7,3,0.01615,57.12,1191,0.709228515625
CSR-Pure,128,0.7,1,0.125975,58.0,4955,0.69757080078125
CSR-Pure,128,0.7,2,0.12526,58.03,5004,0.694580078125
CSR-Pure,128,0.7,3,0.123266,58.03,4741,0.71063232421875
CSR-Pure,256,0.7,1,1.005588,59.36,19621,0.7006072998046875
CSR-Pure,256,0.7,2,0.981707,59.45,19686,0.699615478515625
CSR-Pure,256,0.7,3,1.00902,58.32,19795,0.6979522705078125
CSR-Pure,512,0.7,1,10.102032,85.13,78766,0.6995315551757812
CSR-Pure,512,0.7,2,10.228035,91.21,78573,0.7002677917480469
CSR-Pure,512,0.7,3,10.347744,91.74,78234,0.7015609741210938
CSR-Pure,1024,0.7,1,84.095683,206.35,314762,0.6998195648193359
CSR-Pure,1024,0.7,2,88.379416,233.85,313918,0.7006244659423828
CSR-Pure,1024,0.7,3,92.887383,233.91,314576,0.6999969482421875
CSR-Pure,2048,0.7,1,697.856837,690.87,1258206,0.7000203132629395
CSR-Pure,2048,0.7,2,720.457554,808.04,1257997,0.7000701427459717
CSR-Pure,2048,0.7,3,757.592779,809.0,1256643,0.7003929615020752
CSR-Pure,64,0.9,1,0.129501,765.62,433,0.894287109375
CSR-Pure,64,0.9,2,0.006405,58.55,410,0.89990234375
CSR-Pure,64,0.9,3,0.005685,56.55,393,0.904052734375
CSR-Pure,128,0.9,1,0.071277,57.5,1567,0.90435791015625
CSR-Pure,128,0.9,2,0.070394,57.66,1686,0.8970947265625
CSR-Pure,128,0.9,3,0.062882,57.73,1636,0.900146484375
CSR-Pure,256,0.9,1,0.647197,57.42,6462,0.901397705078125
CSR-Pure,256,0.9,2,0.646522,57.54,6480,0.901123046875
CSR-Pure,256,0.9,3,0.631661,56.76,6409,0.9022064208984375
CSR-Pure,512,0.9,1,8.62058,78.28,26425,0.8991966247558594
CSR-Pure,512,0.9,2,8.609,84.79,26109,0.9004020690917969
CSR-Pure,512,0.9,3,8.94011,85.54,26099,0.9004402160644531
CSR-Pure,1024,0.9,1,79.172142,180.88,104697,0.9001531600952148
CSR-Pure,1024,0.9,2,80.839511,205.84,104367,0.9004678726196289
CSR-Pure,1024,0.9,3,80.862806,205.68,104619,0.9002275466918945
CSR-Pure,2048,0.9,1,654.082326,589.88,420224,0.899810791015625
CSR-Pure,2048,0.9,2,642.404327,688.38,419380,0.9000120162963867
CSR-Pure,2048,0.9,3,667.351546,688.55,419380,0.9000120162963867
CSR-Pure,64,0.95,1,0.140376,643.64,208,0.94921875
CSR-Pure,64,0.95,2,0.001693,57.56,202,0.95068359375
CSR-Pure,64,0.95,3,0.00198,56.56,209,0.948974609375
CSR-Pure,128,0.95,1,0.026374,55.75,800,0.951171875
CSR-Pure,128,0.95,2,0.023799,55.76,796,0.951416015625
CSR-Pure,128,0.95,3,0.026996,55.9,840,0.94873046875
CSR-Pure,256,0.95,1,0.320767,57.2,3159,0.9517974853515625
CSR-Pure,256,0.95,2,0.324147,57.53,3246,0.950469970703125
CSR-Pure,256,0.95,3,0.332479,57.54,3348,0.94891357421875
CSR-Pure,512,0.95,1,5.108931,68.64,13123,0.9499397277832031
CSR-Pure,512,0.95,2,4.999119,73.11,13156,0.9498138427734375
CSR-Pure,512,0.95,3,5.326138,73.78,12988,0.9504547119140625
CSR-Pure,1024,0.95,1,67.308265,162.35,52395,0.9500322341918945
CSR-Pure,1024,0.95,2,69.381929,187.51,52760,0.9496841430664062
CSR-Pure,1024,0.95,3,72.636563,187.7,52638,0.9498004913330078
CSR-Pure,2048,0.95,1,691.490995,554.62,209687,0.9500067234039307
CSR-Pure,2048,0.95,2,690.115139,656.36,209598,0.9500279426574707
CSR-Pure,2048,0.95,3,695.751174,656.77,209460,0.9500608444213867
CSR-Pure,64,0.99,1,0.15819,650.36,40,0.990234375
CSR-Pure,64,0.99,2,0.000137,62.67,53,0.987060546875
CSR-Pure,64,0.99,3,9.4e-05,62.67,42,0.98974609375
CSR-Pure,128,0.99,1,0.001263,61.67,154,0.9906005859375
CSR-Pure,128,0.99,2,0.001288,60.67,158,0.9903564453125
CSR-Pure,128,0.99,3,0.001852,57.67,163,0.99005126953125
CSR-Pure,256,0.99,1,0.019533,56.67,671,0.9897613525390625
CSR-Pure,256,0.99,2,0.016674,56.67,627,0.9904327392578125
CSR-Pure,256,0.99,3,0.018313,56.67,714,0.989105224609375
CSR-Pure,512,0.99,1,0.282354,57.61,2587,0.9901313781738281
CSR-Pure,512,0.99,2,0.270836,57.61,2574,0.9901809692382812
CSR-Pure,512,0.99,3,0.287675,56.6,2544,0.99029541015625
CSR-Pure,1024,0.99,1,4.401608,59.42,10494,0.9899921417236328
CSR-Pure,1024,0.99,2,4.421507,61.07,10463,0.9900217056274414
CSR-Pure,1024,0.99,3,4.44932,61.75,10470,0.9900150299072266
CSR-Pure,2048,0.99,1,73.941269,137.92,41811,0.9900314807891846
CSR-Pure,2048,0.99,2,77.060742,160.12,42137,0.9899537563323975
CSR-Pure,2048,0.99,3,94.030378,160.38,41846,0.990023136138916
CSR-SciPy,64,0.5,1,0.00085,58.82,2103,0.486572265625
CSR-SciPy,64,0.5,2,0.000316,58.89,2042,0.50146484375
CSR-SciPy,64,0.5,3,0.000245,58.9,2105,0.486083984375
CSR-SciPy,128,0.5,1,0.000828,59.39,8168,0.50146484375
CSR-SciPy,128,0.5,2,0.00082,59.74,8219,0.49835205078125
CSR-SciPy,128,0.5,3,0.001056,59.87,8130,0.5037841796875
CSR-SciPy,256,0.5,1,0.005633,59.9,32842,0.498870849609375
CSR-SciPy,256,0.5,2,0.006712,60.63,32687,0.5012359619140625
CSR-SciPy,256,0.5,3,0.009951,60.62,32710,0.500885009765625
CSR-SciPy,512,0.5,1,0.041777,64.65,131183,0.4995765686035156
CSR-SciPy,512,0.5,2,0.040983,64.0,130523,0.5020942687988281
CSR-SciPy,512,0.5,3,0.041061,63.99,131010,0.5002365112304688
CSR-SciPy,1024,0.5,1,0.32412,82.02,524453,0.49984264373779297
CSR-SciPy,1024,0.5,2,0.323573,82.05,523827,0.5004396438598633
CSR-SciPy,1024,0.5,3,0.326065,82.05,524246,0.5000400543212891
CSR-SciPy,2048,0.5,1,2.972623,154.06,2095596,0.500370979309082
CSR-SciPy,2048,0.5,2,2.944983,154.1,2097093,0.500014066696167
CSR-SciPy,2048,0.5,3,2.969048,154.09,2098752,0.4996185302734375
CSR-SciPy,64,0.7,1,0.001533,106.16,1231,0.699462890625
CSR-SciPy,64,0.7,2,0.000148,58.21,1199,0.707275390625
CSR-SciPy,64,0.7,3,0.00015,58.21,1212,0.7041015625
CSR-SciPy,128,0.7,1,0.000732,58.54,4835,0.70489501953125
CSR-SciPy,128,0.7,2,0.000513,58.86,4939,0.69854736328125
CSR-SciPy,128,0.7,3,0.0005,58.86,4873,0.70257568359375
CSR-SciPy,256,0.7,1,0.002691,59.55,19661,0.6999969482421875
CSR-SciPy,256,0.7,2,0.002811,60.09,19677,0.6997528076171875
CSR-SciPy,256,0.7,3,0.002845,60.09,19897,0.6963958740234375
CSR-SciPy,512,0.7,1,0.020393,63.3,78525,0.7004508972167969
CSR-SciPy,512,0.7,2,0.022896,62.8,78927,0.6989173889160156
CSR-SciPy,512,0.7,3,0.01825,62.79,78370,0.7010421752929688
CSR-SciPy,1024,0.7,1,0.129927,77.2,314446,0.7001209259033203
CSR-SciPy,1024,0.7,2,0.131882,77.26,315182,0.6994190216064453
CSR-SciPy,1024,0.7,3,0.129873,77.26,314308,0.7002525329589844
CSR-SciPy,2048,0.7,1,1.027017,134.85,1257934,0.7000851631164551
CSR-SciPy,2048,0.7,2,1.031773,134.87,1258822,0.6998734474182129
CSR-SciPy,2048,0.7,3,1.026781,134.86,1257841,0.7001073360443115
CSR-SciPy,64,0.9,1,0.001521,106.13,422,0.89697265625
CSR-SciPy,64,0.9,2,0.0001,58.15,405,0.901123046875
CSR-SciPy,64,0.9,3,8.3e-05,58.15,410,0.89990234375
